timestamp,tick,subheat,active_tasks,remaining_qty,tenders_seen,tenders_accepted,net_pos,gross_pos,pnl
2026-02-10T20:23:11,359,1,0,0,0,0,0,0,7754.33
2026-02-10T20:23:12,360,1,0,0,0,0,0,0,7754.33
2026-02-10T20:23:13,361,1,0,0,0,0,0,0,7754.33
2026-02-10T20:23:14,362,1,0,0,0,0,0,0,7754.33
2026-02-10T20:23:15,363,1,0,0,0,0,0,0,7754.33
2026-02-10T20:23:16,364,1,0,0,0,0,0,0,7754.33
2026-02-10T20:23:17,365,1,0,0,0,0,0,0,7754.33
2026-02-10T20:23:18,366,1,0,0,0,0,0,0,7754.33
2026-02-10T20:23:19,367,1,0,0,0,0,0,0,7754.33
2026-02-10T20:23:20,368,1,0,0,0,0,0,0,7754.33
2026-02-10T20:23:21,369,1,0,0,0,0,0,0,7754.33
2026-02-10T20:23:22,370,1,0,0,0,0,0,0,7754.33
2026-02-10T20:23:23,371,1,0,0,0,0,0,0,7754.33
2026-02-10T20:23:24,372,1,0,0,1,1,0,0,7754.33
2026-02-10T20:23:25,373,1,1,70000,0,0,70000,70000,11254.33
2026-02-10T20:23:26,374,1,1,51679,0,0,70000,70000,11254.33
2026-02-10T20:23:27,375,1,1,36182,0,0,66100,66100,9193.33
2026-02-10T20:23:28,376,1,1,23075,0,0,50603,50603,8485.36
2026-02-10T20:23:29,377,1,1,21661,0,0,28696,28696,8530.29
2026-02-10T20:23:30,378,1,1,17987,0,0,27282,27282,8516.15
2026-02-10T20:23:31,379,1,1,14624,0,0,23608,23608,8479.41
2026-02-10T20:23:32,380,1,1,11546,0,0,20245,20245,8850.68
2026-02-10T20:23:33,381,1,1,8729,0,0,17167,17167,8620.45
2026-02-10T20:23:34,382,1,1,6150,0,0,8729,8729,8648.49
2026-02-10T20:23:35,383,1,1,3790,0,0,6150,6150,8622.7
2026-02-10T20:23:36,384,1,1,1630,0,0,3790,3790,8599.1
2026-02-10T20:23:37,385,1,1,1630,0,0,1630,1630,8593.8
2026-02-10T20:23:38,386,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:39,387,1,0,0,1,1,0,0,8577.5
2026-02-10T20:23:40,388,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:41,389,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:42,390,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:43,391,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:44,392,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:45,393,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:46,394,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:47,395,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:48,396,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:49,397,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:50,398,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:51,399,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:52,400,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:53,401,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:54,402,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:55,403,1,0,0,0,0,0,0,8577.5
2026-02-10T20:23:56,404,1,0,0,0,0,0,0,8577.5
